attack,cost,dbfId,health,id,name,type,mechanics/0,race,,,,,,,,,,,,,,,
0,0,52424,0,ART_BOT_Bundle_001,Golden Legendary,MINION,,,,,,,,,,,,,,,,,
,5,2539,,AT_001,Flame Lance,SPELL,,,,,,,,,,,,,,,,,
,3,2541,,AT_002,Effigy,SPELL,SECRET,,,,,,,,,,,,,,,,
3,2,2545,2,AT_003,Fallen Hero,MINION,HEROPOWER_DAMAGE,,,,,,,,,,,,,,,,
,1,2572,,AT_004,Arcane Blast,SPELL,RECEIVES_DOUBLE_SPELLDAMAGE_BONUS,,,,,,,,,,,,,,,,
,3,2542,,AT_005,Polymorph: Boar,SPELL,,,,,,,,,,,,,,,,,
4,3,2543,2,AT_005t,Boar,MINION,CHARGE,BEAST,,,,,,,,,,,,,,,
3,4,2549,5,AT_006,Dalaran Aspirant,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2550,,AT_006e,Power of Dalaran,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,2571,4,AT_007,Spellslinger,MINION,BATTLECRY,,,,,,,,,,,,,,,,
6,6,2544,6,AT_008,Coldarra Drake,MINION,,DRAGON,,,,,,,,,,,,,,,
7,8,2546,7,AT_009,Rhonin,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
3,5,2552,3,AT_010,Ram Wrangler,MINION,BATTLECRY,,,,,,,,,,,,,,,,
3,4,2555,5,AT_011,Holy Champion,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,2846,,AT_011e,Light's Blessing,ENCHANTMENT,AURA,,,,,,,,,,,,,,,,
5,4,2551,4,AT_012,Spawn of Shadows,MINION,INSPIRE,,,,,,,,,,,,,,,,
,1,2568,,AT_013,Power Word: Glory,SPELL,,,,,,,,,,,,,,,,,
,,2848,,AT_013e,Power Word: Glory,ENCHANTMENT,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
3,3,2566,3,AT_014,Shadowfiend,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,2567,,AT_014e,Shadowfiended,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,2563,,AT_015,Convert,SPELL,,,,,,,,,,,,,,,,,
,2,2564,,AT_016,Confuse,SPELL,,,,,,,,,,,,,,,,,
,,2565,,AT_016e,Confused,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,4,2569,6,AT_017,Twilight Guardian,MINION,BATTLECRY,DRAGON,,,,,,,,,,,,,,,
,,2570,,AT_017e,Twilight's Embrace,ENCHANTMENT,,,,,,,,,,,,,,,,,
5,7,2556,4,AT_018,Confessor Paletress,MINION,INSPIRE,,,,,,,,,,,,,,,,
1,4,2822,1,AT_019,Dreadsteed,MINION,DEATHRATTLE,DEMON,,,,,,,,,,,,,,,
,,47218,,AT_019e,Dreadsteed,ENCHANTMENT,,,,,,,,,,,,,,,,,
6,7,2624,8,AT_020,Fearsome Doomguard,MINION,,DEMON,,,,,,,,,,,,,,,
3,2,2777,2,AT_021,Tiny Knight of Evil,MINION,TRIGGER_VISUAL,DEMON,,,,,,,,,,,,,,,
,,2778,,AT_021e,Felrage,ENCHANTMENT,,,,,,,,,,,,,,,,,
,4,2628,,AT_022,Fist of Jaraxxus,SPELL,InvisibleDeathrattle,,,,,,,,,,,,,,,,
5,6,2537,4,AT_023,Void Crusher,MINION,INSPIRE,DEMON,,,,,,,,,,,,,,,
,2,2535,,AT_024,Demonfuse,SPELL,,,,,,,,,,,,,,,,,
,,2867,,AT_024e,Dark Fusion,ENCHANTMENT,,,,,,,,,,,,,,,,,
,6,2632,,AT_025,Dark Bargain,SPELL,,,,,,,,,,,,,,,,,
4,2,2623,3,AT_026,Wrathguard,MINION,TRIGGER_VISUAL,DEMON,,,,,,,,,,,,,,,
4,6,2621,4,AT_027,Wilfred Fizzlebang,MINION,,,,,,,,,,,,,,,,,
,,2622,,AT_027e,Master Summoner,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,5,2765,7,AT_028,Shado-Pan Rider,MINION,COMBO,,,,,,,,,,,,,,,,
,,2859,,AT_028e,Chi Lance,ENCHANTMENT,,,,,,,,,,,,,,,,,
